עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
4,ערן טרטאקובסקי,30,רווק,באר שבע,ז,80,12,1
4,"ברוריה ""ברי"" סימון זהר",52,נשואה בשביעית+1,חיפה,נ,17,3,1
4,תמיר ורדי,36,רווק,תל אביב,ז,93,13,1
4,"יקותיאל ""קותי"" סבג",29,רווק,בית שמש,ז,93,13,1
4,שרי שימחוב,23,רווקה,תל אביב,נ,93,13,1
4,סופי קרבצקי,26,בזוגיות,תל אביב,נ,80,12,1
4,איתם ישראלי,27,רווק,תל אביב,ז,66,10,1
4,זיוה כהן בהנם,34,נשואה+3,ניו יורק,נ,17,3,1
4,בטי עזרן קפרא,29,נשואה,רחובות,נ,10,2,1
4,דודו קפרא,34,נשוי,רחובות,ז,19,4,1
4,אביב זילבר,25,רווק,נתניה,ז,24,5,4
4,עינב ויינר,28,נשואה,גאולים,נ,66,10,7
4,צבי פורטל,34,רווק,תל אביב,ז,73,11,7
4,לירון זהבי,32,גרושה+1,חולון,נ,59,9,7
4,ויקטוריה אירולוג'י,18,רווקה,מאר דל פלאטה,נ,5,1,1
עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
5,אבי לוי,57,נשוי+2,טבריה,ז,108,16,1
5,דורין סגול,32,נשואה+3,חולון,נ,101,15,1
5,ענת צאיג,39,רווקה,תל אביב,נ,73,11,1
5,דני רייכנטל,46,גרוש+1,תל אביב,ז,9,2,1
5,פאולינה אלברשטיין,28,רווקה,תל אביב,נ,44,7,1
5,לאון שוובסקי,27,רווק,רמת גן,ז,115,16,1
5,דנה רן,40,גרושה בשנית+5,קריית טבעון,נ,38,6,1
5,בני גולדשטיין,35,גרוש+3,אשקלון,ז,24,4,1
5,"לבנה ""זוהרים"" גוגמן",29,רווקה,תל אביב,נ,115,16,1
5,"אהרון ""ביז'ו"" צאצאשווילי",36,נשוי+1,קריית חיים,ז,94,14,1
5,שלי ורוד,35,רווקה,לוס אנג'לס,נ,52,8,1
5,יניב שמואל אויזרץ,32,רווק,חיפה,ז,94,14,1
5,טהוניה רובל,25,רווקה,בית שמש,נ,115,16,1
5,קרין בן גלים,23,בזוגיות,קריית ביאליק,נ,6,2,1
5,דור דמרי,23,רווק,פתח תקווה,ז,115,16,1
5,מירי חן,48,גרושה+2,חיפה,נ,17,3,1
5,רוני מיילי,56,נשוי+3,פרדס כץ,ז,15,3,1
5,גילי מיילי,37,נשוי+2,פתח תקווה,ז,57,9,1
5,דידי לוזון,27,נשואה,ראשון לציון,נ,87,13,9
5,איתי וולך,25,רווק,תל אביב,ז,115,16,9
5,ירדן עוז,21,רווקה,רמת גן,נ,108,16,9
5,מוטי גלזר,62,גרוש,תל אביב,ז,80,12,9
5,אור דניאל,24,רווקה,תל אביב,נ,87,13,9
עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
6,אחי נתן,25,רווק,קריית שמונה,ז,102,15,1
6,דנית גרינברג,22,רווקה,פתח תקווה,נ,109,15,1
6,"מיכאל ""מיקי"" הירשמן (מיקיאגי)",46,רווק,מושב עולש,ז,88,13,1
6,לינור שפר,28,רווקה,ניו יורק,נ,109,15,1
6,צחי אשכנזי,34,גרוש+1,לוד,ז,74,11,1
6,"אלעד ""נסיך"" מזרחי",27,רווק,נתניה,ז,18,3,1
6,טל גלבוע,36,נשואה+3,כפר סבא,נ,109,15,1
6,אורטל בן דיין,33,בזוגיות,תל אביב,נ,25,4,1
6,דורון מירן,51,נשוי+3,בית שאן,ז,39,6,1
6,קארין זלאיט,27,רווקה,תל אביב,נ,32,5,1
6,אורטל גושן,22,רווקה,לוד,נ,78,12,1
6,אליאב אוזן,31,רווק,תל אביב,ז,95,14,1
6,אנה בול,26,רווקה,תל אביב,נ,46,7,1
6,מרטין סולל,58,"גרושה+1, בזוגיות",פריז,נ,102,15,1
6,אלדד גל-עד,31,רווק,תל אביב,ז,109,15,1
6,עינב בובליל,29,נשואה+3,אשקלון,נ (מהעונה הראשונה),95,14,7
6,מנחם בן,65,נשוי בשנית+6,נופים,ז (מהעונה הראשונה (VIP,67,10,7
6,נופר מור,25,רווקה,תל אביב,נ (מהעונה השלישית),109,15,7
6,בני גולדשטיין,37,גרוש+3,אשקלון,ז (מהעונה החמישית),53,8,7
6,אורטל גושן,22,רווקה,לוד,נ (מאותה עונה),78,12,1
6,יאיר קידר,27,רווק,"כרם מהר""ל",ז,5,1,1
עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
2VIP,שיר אלמליח,25,בזוגיות,ניו יורק,נ,38,5,1
2VIP,מושיק עפיה,40,גרוש,חולון,ז,38,5,1
2VIP,אריאנה מלמד,57,גרושה+2,רחובות,נ,10,2,1
2VIP,קטיה גאלי,42,גרושה,חיפה,נ,17,3,1
2VIP,איציק זוהר,44,גרוש+2,בת ים,ז,38,5,1
2VIP,"ניר ""נירו"" לוי",46,גרוש בשנית+2,תל אביב,ז,38,5,1
2VIP,נטלי עטיה,40,גרושה+2,תל אביב,נ,24,4,1
2VIP,ישראל גודוביץ',81,נשוי+2,תל אביב,ז,10,2,1
2VIP,רתם איזק,29,רווקה,תל אביב,נ,31,5,1
2VIP,מוטי גלעדי,68,"אלמן+3, גרוש+1",קיסריה,ז,36,5,1
