עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
14,יהב ארהבור,26,רווק,רמלה,ז,36,6,1
14,יוסי פריאנטי,29,נשוי+1,לוד,ז,112,16,1
14,עינב שרי,24,בזוגיות,תל מונד,נ,84,13,1
14,מלאני למברסקי,24,בזוגיות,חיפה,נ,103,15,4
14,צחי פלג,50,נשוי+3,כפר יונה,ז,42,7,6
14,מלי קליגר,23,גרושה,ביתר עילית,נ,49,7,6
14,קרן אוזן,25,בזוגיות,סביון,נ,63,10,8
14,איציק עמרם,39,נשוי+3,אריאל,ז,70,11,8
14,שילה שלום,27,רווק,תל אביב,ז,98,15,8
14,מיכל מושיוב,35,גרושה,הרצליה,נ,102,15,8
14,דרק ג'וניור (די ג'יי) שארפ,27,רווק,הרצליה,ז,105,16,8
עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
15,שלי סנדרוב,19,רווקה,אשדוד,נ,,,1
15,דרור קליר,55,רווק,ראשון לציון,ז,,,1
15,טל אהרון קאופמן,31,רווק,רחובות ,ז,26,5,1
15,מאור ברוכמן ,35,גרושה + 2,תל אביב,נ,40,7,1
15,ארז מוגרבי,29,נשוי + 1 ,בת ים,ז,,,1
15,מאי ערב,19,רווקה,יבנה,נ,,,1
15,ארז איסקוב,28,רווק,אור עקיבא,ז,,,1
15,תרצה כהן,23,רווקה,ירושלים,נ,,,1
15,חן קראוניק,23,רווק,בארי,ז,,,1
15,לורן גוזלן,30,נשואה,רמלה,נ,47,8,1
15,גלעד פרץ,35,גרוש + 3,לוס אנג'לס,ז,18,3,1
15,אלאיה הוף,27,רווקה,תל אביב,נ,61,10,1
15,נתנאל דהאן,26,רווק,אילת,ז,66,11,1
15,שאול חכם ,27,רווק,באר שבע,ז,51,8,1
15,שני אדרי,34,גרושה + 2,דימונה,נ,,,1
15,אנה סופיה קלמן,22,רווקה,זיכרון יעקב,נ,65,10,1
15,יובל לוי,27,רווק,ברקן,ז,,,1
15,שלי אבנשטיין ,28,רווקה,תל אביב,נ,18,3,1
15,ירדן אדרי,31,רווקה,קריית מוצקין ,נ,12,2,1
15,יוסי בובליל,71,נשוי + 3,אשקלון,ז,,,1
15,מושיקו עג'מי,22,רווק,תל אביב,ז,14,11,9
15,יוכי אפוליאון ,34,נשואה + 3,הרצליה פיתוח,נ,,,9
15,רועי גרוס,31,נשוי,ישרש,ז,,,9
15,שירז בן ארי,21,רווקה,תל אביב,נ,,,9
15,שון יפישין,25,רווק,אשקלון ,ז,,,9
15,תהילה בריגה,24,רווקה,אור יהודה,נ,,,9
