timestamp,text,likes,retweets
2025-06-09 06:36:59+00:00,"@CaspiJonathan @historyinpic9 לא לא.
שם לפחות יש נרטיב , יש בריף.
האח הגדול זה השיא. אין שם כלום. ניסוי שבו הצופים הם המושא והמטרה היא להוכיח שאם זה בטלוויזיה- אנשים יצפו, ממש כמו שג׳ורג׳ מסיינפלד הסביר. והכי מזעזע - הניסוי מצליח. https://t.co/3R5F0yHLXG",0,0
2025-06-09 06:17:11+00:00,"@gilmishali בוקר טוב 
חדשות 12 14 
חדשות 14 7,1 
חדשות 13 6,4 
חדשות 11 3,3 
האח הגדול 17,6 נחלש נבדוק 
הזמר במסכה 15,5 נחלשו 
הפטריוטים 6,8 נבדוק עפ’ נתונים  את שאר הערוצים 
ערב שטרן 3,8 
פתחי ושי 3,3 בטוח לא יוחרמו
  גיא פינס 6,4 חלש
הצינור 8,7 
סטורי ליליה 1,9 
חדשות 11 1,8
נבדוק ונחשב",0,0
2025-06-09 06:16:03+00:00,@UrielYekutiel @alpha325153617 @LVertzhaizer אני לא רואה האח הגדול ❤️,1,0
2025-06-09 06:13:38+00:00,"רייטינג מלחמה. האח הגדול מנצח. הפטריוטים רחוקים מאוד.
פריים
רשת,  האח הגדול, 17.6
קשת, זמר במסכה, 15.5
14, הפטריוטים, 6.8. פתחי ושי 3.3
כאן, שי שטרן, 3.8

מהדורה
חדשות 12 14
חדשות 14 7.1
חדשות 13 6.4
חדשות 11 3.3",4,0
2025-06-09 06:00:50+00:00,"רייטינג
האח הגדול, רשת: 17.6%
הזמר במסכה, קשת 12: 15.5%
הפטריוטים, ערוץ 14: 6.8%
ערב עם שי שטרן, כאן: 3.8%
הנוסף: פתחי ושי, ערוץ 14: 3.3%",7,0
2025-06-09 05:32:33+00:00,ראשוני: גרטה תיכנס לבית האח הגדול.,24,0
2025-06-09 05:21:00+00:00,@theshelterradio למה אתה כותב על האח הגדול כמו ילדה בת 12?,0,0
2025-06-09 05:17:07+00:00,"הפטיש של יוסי בובליל: המעשה המזעזע שהקפיץ את כל ישראל | האח הגדול

https://t.co/NkwcQfezUh",0,0
2025-06-09 05:03:20+00:00,@Tomcher123 @AmitHamatril צופי האח הגדול אתם כת,2,0
2025-06-09 04:44:38+00:00,@Tomcher123 @AmitHamatril תסביר לפשוטי עם שלא רואים האח הגדול,0,0
2025-06-09 04:41:13+00:00,"בדומה לטוויטר, נושא השיחה מספר 1 בארוחות בצבא הוא ללא ספק האח הגדול https://t.co/mYsokhM8k6",0,0
2025-06-09 04:37:27+00:00,רוקדים עם כוכבים או האח הגדול vip? https://t.co/HdGJbIgRt8,5,0
2025-06-09 04:31:55+00:00,"@RAYZ301 אין אפשרות כזאת לדעתי כי מדובר במוצא נחות שאינדיאנים היו אוכלים,אם לא היה מה נשאר לאכול לפני מאות שנים, אבל גם יש האח הגדול",0,0
2025-06-09 04:28:39+00:00,"@Nadav_Eyal האח הגדול ואחד הטלסקרינים שלו..
 2 ועוד 2 זה חמש אומרים לך.",0,0
2025-06-09 03:28:20+00:00,"רצח עם, קריסת המשטר פה ללא כל חלופה סבירה.
בטלויזיה: הזמר במסיכה, האח הגדול, נינג'ה ישראל.
לכו להזדיין, חולי נפש.",29,2
2025-06-09 00:28:54+00:00,"@alpha325153617 @LVertzhaizer שמע, לא קרינג' בעיניי לסכן את החיים שלך בשביל אנשים שגוססים ומתים בזמן ששאר העולם רואה האח הגדול. אבל שוב - you do you 👍",0,0
2025-06-08 21:24:37+00:00,"@Octopusking77 פיד כדורגל&gt;פיד האח הגדול&gt;פיד פוליטיקה
הלאה",0,0
2025-06-08 21:22:01+00:00,@dubi_ya האח הגדול. גירסת ערוץ 14,0,0
2025-06-08 21:18:07+00:00,@maya_goldin לא מאמין שזה האח הגדול מהסדרה הזו 😭 https://t.co/KR3tQ96aEL,3,0
2025-06-08 20:47:01+00:00,עונת האח הגדול מזכירה לי שוב שפיד כדורגל זה הפיד הכי חזק בארץ,10,0
2025-06-08 20:40:37+00:00,זאת העונה הכי טובה של האח הגדול עד היום https://t.co/CHn61vnGGo,9,0
2025-06-08 20:40:06+00:00,"למה איאפשר להשתיק את הקבוצה של האח הגדול 
פיד האח הגדול יותר נורא מפוריו האח הגדול",0,0
2025-06-08 20:32:01+00:00,"@leeeli175 תחזור לדבר על האח הגדול 
בשבילך אחי",31,0
2025-06-08 20:23:58+00:00,"@BiniAshcknasy העונה הכי טובה של האח הגדול מזה שנים. ליהוק מושלם, עריכה פנומנלית",3,0
2025-06-08 20:17:35+00:00,אם הייתם שמים שימפנזה בחדר ומכריחים אותה לראות את כל העונות של האח הגדול היא הייתה ממציאה את פצצת האטום ומשמידה את ישראל,4,0
2025-06-08 20:16:58+00:00,שודלתי על ידי אנשים נבזים לצפות בגועל הזה האח הגדול,1,0
2025-06-08 20:15:29+00:00,"@Nudmaister ברו יעשה הכל כדי להרגיש שהוא מעל פיד האח הגדול
תנחת זריז נדב",3,0
2025-06-08 20:12:46+00:00,האח הגדול כבר פרק שני ברציפות במסע הלבנה לגברת מאור הקוברה אבל אני פה להזכיר שמדובר בפח אשפה הכי גדול שנראה על המסך,42,0
2025-06-08 20:12:38+00:00,כמה הפרק גרוע מ1 למראים לנו את טל מתבכיין על הזקן שלו בחדר של האח הגדול,16,0
2025-06-08 20:10:19+00:00,"חייבת להקפיץ, אכלתי את הפיד עם האח הגדול. https://t.co/QvO0iVicWL",1,0
2025-06-08 20:07:38+00:00,@TalBagainski טל הכל בסדר? פשוט צייצת על האח הגדול,0,0
2025-06-08 20:03:57+00:00,הטוויטר זה מקום לטראש ואני בספק שאני אצייץ על משהו שהוא לא האח הגדול לתקופה הקרובה,5,0
2025-06-08 19:59:51+00:00,"@drorrefael האח הגדול היא מניפולציה שכל מטרתה לטחוב לתוך חדר צואה אנושית של אנשים תתי רמה לבצע בהם מבחנים מתוך תקווה שזה יביא לתככים וכתוצאה מכך לרייטינג, הפקת האח הגדול מתפרנסת מהפח זבל הזה, ומי שצופה בתוכנית הזו מאכיל במו ידיו את הזוהמה הזאת, ולכל הפחות, הוא מאבד את הזכות להתלונן על כך.",2,0
2025-06-08 19:57:40+00:00,איך מצייצים בפיד של האח הגדול? https://t.co/Nc2ISzIG7S,13,0
2025-06-08 19:52:32+00:00,@drorrefael הייתי נותן לאלאיה את פרס המיליון וסוגר את התכנית. היא אדם נדיר. פח האשפה האנושי שהתקבץ השנה מצטיין באיכותו הירודה גם במושגי האח הגדול לדורותיו (חוץ אולי מאנה).,0,0
2025-06-08 19:44:32+00:00,"לא יוצא עם בחורה שרואה האח הגדול
**אלא אם היא כוסית",0,0
2025-06-08 19:37:08+00:00,האח הגדול 2025 עונה 16 פרק 12 לצפייה ישירה: https://t.co/KIDDNLFy8s,1,0
2025-06-08 19:36:26+00:00,האח הגדול 2025 עונה 16 פרק 13 לצפייה ישירה: https://t.co/wYZFnsTP0u,1,0
2025-06-08 19:32:50+00:00,על הראש של פיד האח הגדול https://t.co/wZ1dJpBcUN,5,0
2025-06-08 19:30:36+00:00,דיירת בבית האח הגדול אחרי שיחה עם ארז איסקוב https://t.co/FqBngjQTES,27,0
2025-06-08 19:28:05+00:00,בבקשה אטום על פיד האח הגדול ועל פיד קולינריה(או אפשרות להשתיק קהילות),0,0
2025-06-08 19:21:57+00:00,"@nohoska לא שאני מבין או עוקב, אבל זה לא נגד חוקי האח הגדול? כאילו, הם לא מסתכנים בהדחה או משהו? או שזה נו נו נו ומלא קולות מהקהל בפועל",0,0
2025-06-08 19:20:45+00:00,@EinhornOmer די כבר עם פיד האח הגדול. מה קרה לדיוני האם מאסימו אודו הוא גדול השחקנים עם שמות המשפחה הפילנדרומים באנגלית,5,0
2025-06-08 19:12:27+00:00,"כמה מסרים רעים יצאו מהפרק האחרון של בית האח הגדול אבל זה שהכי לקחתי לתשומת ליבי הוא זה שהכי פונה לקהל היעד של התוכנית לאלו שהכי צופות בו :
אל תהיי ילדה שמנה כי ילדה שמנה פרה אנחנו לא משאירים בתכנית !",1,0
2025-06-08 19:10:18+00:00,"@Avigdorii אז מה נגיד על כל הממשלה הזו?? על שר הבטחון, שר בטחון הפנים, שר החינוך, שרת התחבורה ושר המשפטים... ואפשר להמשיך.
בכל דבר שנגעו או לא נגעו נכשלו כישלון אדיר אבל העם המטומטם שלנו, הפראייר והדביל לא עושה כלום. רואה האח הגדול בזמן שבניו נהרגים והחטופים מעונים.
עם מפגר",0,0
2025-06-08 19:01:15+00:00,"פיד טניס קולינריה האח הגדול אפליקציות של הרכבים ופושים על שיטשואו

מאסתי בפגרה",1,0
2025-06-08 19:01:13+00:00,"@Royyellow21 טניס בטלוויזיה
האח הגדול בטלפון",1,0
2025-06-08 19:00:42+00:00,@YarinHay8 אתה ראית האח הגדול בכלל,0,0
2025-06-08 18:58:36+00:00,@shiradmeiavtala אם פיד האח הגדול היו יודעים לקרוא הם היו רואים איזה באנגר זה,2,0
2025-06-08 18:53:31+00:00,אם אנה לא רוצה להחזיר את עצמה אחורה שלא תכנס לבית האח הגדול מה זה השטויות האלה,1,0
2025-06-08 18:51:03+00:00,סיימתי כפולה ולא ידעתי שיש היום האח הגדול ועכשיו גיליתי דרך האינסטגרם שפספסתי וזה מסתבר היה הטריגר בכי שלי כי אני מייבבת בדרך הביתה כמו כלבה דרוסה תודה אלוהים על משקפי שמש מי ידע שהייתי ככה על הקצה (כולםן) אוף יש לי פיפי קיצוני,8,0
2025-06-08 18:50:13+00:00,@chaimlevinson אין סיגריות=אין יוסי בובליל=אין האח הגדול,0,0
2025-06-08 18:47:53+00:00,השעה הזאת ביום שמה שהמוח שלך יכול לספוג זה את התת רמה של האח הגדול.,6,0
2025-06-08 18:42:12+00:00,"הפיד בפגרה:
נהי וולקאם
טניס
שיט שואו בסל
נהי על הנהי וולקאם
אונליפאנס עם ובלי פנים
האח הגדול
גרטה

בנתיים הקיץ הזה הרבה יותר מסגרירי",8,0
2025-06-08 18:41:24+00:00,"ערוץ 13 - האח הגדול 
ערוץ 12 - הזמר במסיכה
ערוץ 11 - שי שטרן
קשה הבחירה. 
8 לוחמים נפלו בשבוע, הלוויות, חטופים. 
והתקשורת מסממת את ההמונים עם לחם ושעשועים. https://t.co/3ffZPw51QC",127,12
2025-06-08 18:30:30+00:00,״האח הגדול מבקש שלא תדרדרו למקומות האלו שוב״ על מי הוא עובד הוא מתתתתתת על הרייטינג,8,0
2025-06-08 18:25:26+00:00,"איזה יופי שיש האח הגדול. 
זה הקיו שלי ללכת - מקלחת ולישון.",6,0
2025-06-08 18:23:00+00:00,@ItaiMantesh @eitan_leshem כל החיים הם פיד האח הגדול,1,0
2025-06-08 18:12:43+00:00,@EinhornOmer העונה הנוכחית של האח הגדול זו עונת 2018/19 בצ'מפיונס במונחי כדורגל,5,0
2025-06-08 18:07:21+00:00,למה יש לי כל כך הרבה הצעות מ״פיד האח הגדול״?? אני לא רואה ולא מתעניין בסדרה הטיפשית הזאת!,0,0
2025-06-08 18:05:37+00:00,"@nir_ אני בעד להפוך אותם
 לתכנית האח הגדול 

חודש על הסירה עם כמה אנשי חמאס ולראות איך עובד דו קיום",3,0
2025-06-08 18:00:15+00:00,@ItaiMantesh למה סבבה האח הגדול,2,0
2025-06-08 17:59:20+00:00,@eitan_leshem עדיף מאשר פיד האח הגדול,8,0
2025-06-08 17:55:29+00:00,"הפעלה - תגיבו לי מי הדייר האהוב עליכם בהיסטוריה של האח הגדול כולל כל העונות וגם אם זה בעונה הזו.

אני אתחיל - שי חי האחד והיחיד. https://t.co/6YUKHT1aDj",28,0
2025-06-08 17:52:19+00:00,@EinhornOmer העונה הכי טובה בתולדות האח הגדול ישראל.,9,0
